Product,Group,Synonym
Fentanyl,Fentanyl,Fentanyl
3-Methylbutyrfentanyl,Fentanyl,"3-methylbutyrfentanyl,3-mbf"
3-Methylfentanyl,Fentanyl,"3-methylfentanyl,3-mf"
3-Methylthiofentanyl,Fentanyl,3-methylthiofentanyl
4-Chloroisobutyrfentanyl,Fentanyl,"4-chloroisobutyrfentanyl,4-clibf,p-clibf"
4-Fluorobutyrfentanyl,Fentanyl,"4-fluorobutyrfentanyl,4-fbf,p-fbf"
4-Fluorofentanyl,Fentanyl,"4-fluorofentanyl,4-f,p-ff"
4-Fluoroisobutyrfentanyl,Fentanyl,"4-fluoroisobutyrfentanyl,4-fibf,p-fibf"
4-Methoxybutyrfentanyl,Fentanyl,"4-methoxybutyrfentanyl,4-meo-bf,p-meo-bf"
A-Methylfentanyl,Fentanyl,a-methylfentanyl
A-Methylthiofentanyl,Fentanyl,a-methylthiofentanyl
Acetyl-A-Methylfentanyl,Fentanyl,acetyl-a-methylfentanyl
Acetylfentanyl,Fentanyl,"acetylfentanyl,acetyl fentanyl,a-f,ace fent, ace-fent,acetyl fent,acetyl-fentanyl"
Acrylfentanyl,Fentanyl,acrylfentanyl
Acryloyl Fentanyl,Fentanyl,acryloyl fentanyl
Alfentanyl,Fentanyl,"alfentanil,Alfentanyl"
B-Hydroxy-3-Methylfentanyl,Fentanyl,b-hydroxy-3-methylfentanyl
B-Hydroxyfentanyl,Fentanyl,b-hydroxyfentanyl
Butyrfentanyl,Fentanyl,"butyrfentanyl,bf,b-f,butryrylfentanyl,butryryl fentanyl,butyr fentanyl,butyr fent,butry-fentanyl,butyryl-fentanyl"
Carfentanil,Fentanyl,carfentanil
Fentanyl,Fentanyl,"fentanyl hcl,fentanyl,duragesic,actiq,haldid,abstral,fentora,ionsys"
Fentanyl NEC,Fentanyl,china white
Furanylfentanyl,Fentanyl,"furanylfentanyl,fu-f,fuf,furanyl fentanyl,furanyl-fentanyl,furanyl fent,fu-fent"
Lofentanil,Fentanyl,lofentanil
P-Flurorofentanyl,Fentanyl,p-flurorofentanyl
Pentafentanyl,Fentanyl,"pentafentanyl,penta-fentanyl,penta fentanyl,"
Remifentanyl,Fentanyl,"remifentanil,Remifentanyl"
Sufentanil,Fentanyl,sufentanil
Thiofentanyl,Fentanyl,thiofentanyl
Valerylfentanyl,Fentanyl,"valerylfentanyl,vf,v-f,valeryl fent,valeryl-fentanyl,"
"2,5-Dimethylfentanyl",Fentanyl,"2,5-Dimethylfentanyl"
3-Allylfentanyl,Fentanyl,3-Allylfentanyl
4-Phenylfentanyl,Fentanyl,4-Phenylfentanyl
A-Methylacetylfentanyl,Fentanyl,A-Methylacetylfentanyl
B-Hydroxythiofentanyl,Fentanyl,B-Hydroxythiofentanyl
B-Methylfentanyl,Fentanyl,B-Methylfentanyl
Benzylfentanyl,Fentanyl,Benzylfentanyl
Brifentanyl,Fentanyl,Brifentanyl
Mirfentanyl,Fentanyl,Mirfentanyl
N-Methylcarfentanyl,Fentanyl,N-Methylcarfentanyl
Ocfentanyl,Fentanyl,Ocfentanyl
Ohmefentanyl,Fentanyl,Ohmefentanyl
R-30490,Fentanyl,R-30490
Sufentanyl,Fentanyl,Sufentanyl
Trefentanyl,Fentanyl,Trefentanyl
