,avgPrice,numListings
2014-03-23,109.57618368,1.0
2014-03-24,108.604404672,1.0
2014-03-25,107.632625665,1.0
2014-03-26,106.660846658,1.0
2014-03-27,105.68906765,1.0
2014-03-28,104.717288642,1.0
2014-03-29,103.745509635,1.0
2014-03-30,102.773730628,1.0
2014-03-31,101.80195162,1.0
2014-04-01,100.830172613,1.0
2014-04-02,99.858393605,1.0
2014-04-03,98.8866145975,1.0
2014-04-04,97.91483559,1.0
2014-04-05,96.9430565825,1.0
2014-04-06,95.971277575,1.0
2014-04-07,94.9994985675,1.0
2014-04-08,94.02771956,1.0
2014-04-09,93.0559405525,1.0
2014-04-10,92.084161545,1.0
2014-04-11,91.1123825375,1.0
2014-04-12,90.14060353,1.0
2014-04-13,89.1688245225,1.0
2014-04-14,88.197045515,1.0
2014-04-15,87.2252665075,1.0
2014-04-16,86.2534875,1.0
2014-04-17,128.136260783,1.0
2014-04-18,170.019034067,1.0
2014-04-19,211.90180735,1.0
2014-04-20,253.784580633,1.0
2014-04-21,295.667353917,1.0
2014-04-22,337.5501272,1.0
2014-04-23,527.2090608,1.0
2014-04-24,716.8679944,1.0
2014-04-25,540.240426347,1.33333333333
2014-04-26,363.612858293,1.66666666667
2014-04-27,186.98529024,2.0
2014-04-28,231.436377473,2.125
2014-04-29,275.887464706,2.25
2014-04-30,320.33855194,2.375
2014-05-01,364.789639173,2.5
2014-05-02,409.240726406,2.625
2014-05-03,453.691813639,2.75
2014-05-04,498.142900873,2.875
2014-05-05,542.593988106,3.0
2014-05-06,587.045075339,3.125
2014-05-07,631.496162572,3.25
2014-05-08,675.947249806,3.375
2014-05-09,720.398337039,3.5
2014-05-10,764.849424272,3.625
2014-05-11,809.300511505,3.75
2014-05-12,853.751598738,3.875
2014-05-13,898.202685972,4.0
2014-05-14,942.653773205,4.125
2014-05-15,987.104860438,4.25
2014-05-16,1031.55594767,4.375
2014-05-17,1076.0070349,4.5
2014-05-18,1120.45812214,4.625
2014-05-19,1164.90920937,4.75
2014-05-20,1209.3602966,4.875
2014-05-21,1253.81138384,5.0
2014-05-22,1298.26247107,5.125
2014-05-23,1342.7135583,5.25
2014-05-24,1387.16464554,5.375
2014-05-25,1431.61573277,5.5
2014-05-26,1476.06682,5.625
2014-05-27,1520.51790724,5.75
2014-05-28,1564.96899447,5.875
2014-05-29,1609.4200817,6.0
2014-05-30,1748.0931555,4.0
2014-05-31,1622.97083441,6.0
2014-06-01,1696.52035747,5.66666666667
2014-06-02,1770.06988054,5.33333333333
2014-06-03,1843.6194036,5.0
2014-06-04,141.87540836,1.0
2014-06-05,412.699001043,1.71428571429
2014-06-06,683.522593727,2.42857142857
2014-06-07,954.34618641,3.14285714286
2014-06-08,1225.16977909,3.85714285714
2014-06-09,1495.99337178,4.57142857143
2014-06-10,1766.81696446,5.28571428571
2014-06-11,2037.64055714,6.0
2014-06-12,1890.85600514,6.375
2014-06-13,1744.07145314,6.75
2014-06-14,1597.28690113,7.125
2014-06-15,1450.50234913,7.5
2014-06-16,1303.71779713,7.875
2014-06-17,1156.93324513,8.25
2014-06-18,1010.14869312,8.625
2014-06-19,863.36414112,9.0
2014-06-20,798.47090145,8.25
2014-06-21,733.57766178,7.5
2014-06-22,668.68442211,6.75
2014-06-23,603.79118244,6.0
2014-06-24,291.926859588,5.0
2014-06-25,328.332159013,5.08333333333
2014-06-26,364.737458439,5.16666666667
2014-06-27,401.142757865,5.25
2014-06-28,437.54805729,5.33333333333
2014-06-29,473.953356716,5.41666666667
2014-06-30,510.358656141,5.5
2014-07-01,546.763955567,5.58333333333
2014-07-02,583.169254992,5.66666666667
2014-07-03,619.574554418,5.75
2014-07-04,655.979853843,5.83333333333
2014-07-05,692.385153269,5.91666666667
2014-07-06,728.790452694,6.0
2014-07-07,765.19575212,6.08333333333
2014-07-08,801.601051545,6.16666666667
2014-07-09,838.006350971,6.25
2014-07-10,874.411650396,6.33333333333
2014-07-11,910.816949822,6.41666666667
2014-07-12,947.222249247,6.5
2014-07-13,983.627548673,6.58333333333
2014-07-14,1020.0328481,6.66666666667
2014-07-15,1056.43814752,6.75
2014-07-16,1092.84344695,6.83333333333
2014-07-17,1129.24874637,6.91666666667
2014-07-18,1165.6540458,7.0
2014-07-19,992.758353881,7.66666666667
2014-07-20,819.862661962,8.33333333333
2014-07-21,646.966970043,9.0
2014-07-22,677.088322921,9.2
2014-07-23,707.209675798,9.4
2014-07-24,737.331028675,9.6
2014-07-25,767.452381553,9.8
2014-07-26,797.57373443,10.0
2014-07-27,638.028666408,7.0
2014-07-28,478.483598385,4.0
2014-07-29,843.013057098,10.0
2014-07-30,867.997726032,9.4
2014-07-31,892.982394966,8.8
2014-08-01,917.9670639,8.2
2014-08-02,942.951732834,7.6
2014-08-03,967.936401769,7.0
2014-08-04,961.712867151,7.25
2014-08-05,955.489332532,7.5
2014-08-06,949.265797914,7.75
2014-08-07,943.042263296,8.0
2014-08-08,936.818728678,8.25
2014-08-09,930.59519406,8.5
2014-08-10,924.371659442,8.75
2014-08-11,918.148124824,9.0
2014-08-12,911.924590206,9.25
2014-08-13,905.701055588,9.5
2014-08-14,899.47752097,9.75
2014-08-15,893.253986352,10.0
2014-08-16,876.381664195,10.7142857143
2014-08-17,859.509342039,11.4285714286
2014-08-18,842.637019882,12.1428571429
2014-08-19,825.764697726,12.8571428571
2014-08-20,808.892375569,13.5714285714
2014-08-21,792.020053413,14.2857142857
2014-08-22,775.147731256,15.0
2014-08-23,655.424628105,12.4
2014-08-24,535.701524954,9.8
2014-08-25,415.978421802,7.2
2014-08-26,296.255318651,4.6
2014-08-27,176.5322155,2.0
2014-08-28,226.574732286,2.5
2014-08-29,276.617249071,3.0
2014-08-30,326.659765857,3.5
2014-08-31,376.702282643,4.0
2014-09-01,426.744799428,4.5
2014-09-02,476.787316214,5.0
2014-09-03,526.829832999,5.5
2014-09-04,576.872349785,6.0
2014-09-05,626.914866571,6.5
2014-09-06,676.957383356,7.0
2014-09-07,726.999900142,7.5
2014-09-08,777.042416928,8.0
2014-09-09,827.084933713,8.5
2014-09-10,877.127450499,9.0
2014-09-11,748.481944656,8.0
2014-09-12,619.836438813,7.0
