,avgPrice,numListings
2014-09-30,512.984147035,2.0
2014-10-01,499.848391441,2.0
2014-10-02,486.712635847,2.0
2014-10-03,473.576880254,2.0
2014-10-04,460.44112466,2.0
2014-10-05,478.909950619,2.0
2014-10-06,497.378776578,2.0
2014-10-07,515.847602536,2.0
2014-10-08,534.316428495,2.0
2014-10-09,519.62432497,2.0
2014-10-10,504.932221445,2.0
2014-10-11,490.24011792,2.0
2014-10-12,489.763766596,2.0
2014-10-13,489.287415272,2.0
2014-10-14,488.811063949,2.0
2014-10-15,488.334712625,2.0
2014-10-16,490.761093892,1.8
2014-10-17,493.187475159,1.6
2014-10-18,495.613856426,1.4
2014-10-19,498.040237693,1.2
2014-10-20,500.46661896,1.0
2014-10-21,509.08026312,1.0
2014-10-22,517.69390728,1.0
2014-10-23,477.216263683,1.5
2014-10-24,436.738620087,2.0
2014-10-25,396.26097649,2.5
2014-10-26,355.783332893,3.0
2014-10-27,510.04183608,1.0
2014-10-28,501.85458156,1.0
2014-10-29,493.66732704,1.0
2014-10-30,446.814694627,1.66666666667
2014-10-31,399.962062213,2.33333333333
2014-11-01,353.1094298,3.0
2014-11-02,358.782951177,3.0
2014-11-03,364.456472553,3.0
2014-11-04,368.509699202,3.0
2014-11-05,372.562925851,3.0
2014-11-06,376.6161525,3.0
2014-11-07,404.608875816,2.6
2014-11-08,432.601599132,2.2
2014-11-09,460.594322448,1.8
2014-11-10,488.587045764,1.4
2014-11-11,516.57976908,1.0
2014-11-12,519.2695356,1.0
2014-11-13,521.95930212,1.0
2014-11-14,524.64906864,1.0
2014-11-15,496.22037664,1.0
2014-11-16,535.27226592,1.0
2014-11-17,316.86437236,1.0
2014-11-18,98.4564788,1.0
2014-11-19,98.749309375,1.0
2014-11-20,99.04213995,1.0
2014-11-21,99.334970525,1.0
2014-11-22,99.6278011,1.0
2014-11-23,114.325721925,1.0
2014-11-24,129.02364275,1.0
2014-11-25,143.721563575,1.0
2014-11-26,158.4194844,1.0
2014-11-27,173.117405225,1.0
2014-11-28,187.81532605,1.0
2014-11-29,202.513246875,1.0
2014-11-30,217.2111677,1.0
2014-12-01,231.909088525,1.0
2014-12-02,246.60700935,1.0
2014-12-03,261.304930175,1.0
2014-12-04,276.002851,1.0
2014-12-05,290.700771825,1.0
2014-12-06,305.39869265,1.0
2014-12-07,320.096613475,1.0
2014-12-08,334.7945343,1.0
2014-12-09,349.492455125,1.0
2014-12-10,364.19037595,1.0
2014-12-11,378.888296775,1.0
2014-12-12,393.5862176,1.0
2014-12-13,408.284138425,1.0
2014-12-14,422.98205925,1.0
2014-12-15,437.679980075,1.0
2014-12-16,452.3779009,1.0
2014-12-17,467.075821725,1.0
2014-12-18,481.77374255,1.0
2014-12-19,496.471663375,1.0
2014-12-20,511.1695842,1.0
2014-12-21,1341.38533602,1.0
2014-12-22,2171.60108785,1.0
2014-12-23,3001.81683967,1.0
2014-12-24,3832.0325915,1.0
2014-12-25,3866.70439627,1.0
2014-12-26,3901.37620105,1.0
2014-12-27,3936.04800583,1.0
2014-12-28,3970.7198106,1.0
2014-12-29,3623.201543,1.2
2014-12-30,3275.6832754,1.4
2014-12-31,2928.1650078,1.6
2015-01-01,2580.6467402,1.8
2015-01-02,2233.1284726,2.0
2015-01-03,2716.84141957,2.0
2015-01-04,3200.55436655,2.0
2015-01-05,3684.26731352,2.0
2015-01-06,4167.9802605,2.0
2015-01-07,3756.39185335,1.9
2015-01-08,3344.8034462,1.8
2015-01-09,2933.21503906,1.7
2015-01-10,2521.62663191,1.6
2015-01-11,2110.03822476,1.5
2015-01-12,1698.44981761,1.4
2015-01-13,1286.86141046,1.3
2015-01-14,875.273003316,1.2
2015-01-15,463.684596168,1.1
2015-01-16,52.09618902,1.0
2015-01-17,154.984125456,1.0
2015-01-18,257.872061892,1.0
2015-01-19,360.759998328,1.0
2015-01-20,463.647934764,1.0
2015-01-21,566.5358712,1.0
2015-01-22,2210.82006226,2.0
2015-01-23,3855.10425332,3.0
2015-01-24,5499.38844437,4.0
2015-01-25,5261.08183006,4.2
2015-01-26,5022.77521574,4.4
2015-01-27,4784.46860143,4.6
2015-01-28,4546.16198711,4.8
2015-01-29,4307.8553728,5.0
2015-01-30,4038.29525867,4.0
2015-01-31,3768.73514453,3.0
2015-02-01,3499.1750304,2.0
2015-02-02,3722.5034439,2.0
2015-02-03,3605.48415733,2.0
2015-02-04,3488.46487077,2.0
2015-02-05,3371.4455842,2.0
2015-02-06,2922.75122872,2.25
2015-02-07,2474.05687325,2.5
2015-02-08,2025.36251777,2.75
2015-02-09,1576.6681623,3.0
2015-02-10,926.674527505,2.5
2015-02-11,276.68089271,2.0
2015-02-12,672.235488322,2.16666666667
2015-02-13,1067.79008393,2.33333333333
2015-02-14,1463.34467954,2.5
2015-02-15,1858.89927516,2.66666666667
2015-02-16,2254.45387077,2.83333333333
2015-02-17,2650.00846638,3.0
2015-02-18,1490.51836394,3.0
2015-02-19,331.0282615,3.0
2015-02-20,1737.30770211,3.0
