,avgPrice,numListings
2014-11-24,9.61482807247,4.0
2014-11-25,9.62804226037,3.98484848485
2014-11-26,9.64125644827,3.9696969697
2014-11-27,9.65447063617,3.95454545455
2014-11-28,9.66768482407,3.93939393939
2014-11-29,9.68089901197,3.92424242424
2014-11-30,9.69411319986,3.90909090909
2014-12-01,9.70732738776,3.89393939394
2014-12-02,9.72054157566,3.87878787879
2014-12-03,9.73375576356,3.86363636364
2014-12-04,9.74696995146,3.84848484848
2014-12-05,9.76018413936,3.83333333333
2014-12-06,9.77339832725,3.81818181818
2014-12-07,9.78661251515,3.80303030303
2014-12-08,9.79982670305,3.78787878788
2014-12-09,9.81304089095,3.77272727273
2014-12-10,9.82625507885,3.75757575758
2014-12-11,9.83946926675,3.74242424242
2014-12-12,9.85268345464,3.72727272727
2014-12-13,9.86589764254,3.71212121212
2014-12-14,9.87911183044,3.69696969697
2014-12-15,9.89232601834,3.68181818182
2014-12-16,9.90554020624,3.66666666667
2014-12-17,9.91875439413,3.65151515152
2014-12-18,9.93196858203,3.63636363636
2014-12-19,9.94518276993,3.62121212121
2014-12-20,9.95839695783,3.60606060606
2014-12-21,9.97161114573,3.59090909091
2014-12-22,9.98482533363,3.57575757576
2014-12-23,9.99803952152,3.56060606061
2014-12-24,10.0112537094,3.54545454545
2014-12-25,10.0244678973,3.5303030303
2014-12-26,10.0376820852,3.51515151515
2014-12-27,10.0508962731,3.5
2014-12-28,10.064110461,3.48484848485
2014-12-29,10.0773246489,3.4696969697
2014-12-30,10.0905388368,3.45454545455
2014-12-31,10.1037530247,3.43939393939
2015-01-01,10.1169672126,3.42424242424
2015-01-02,10.1301814005,3.40909090909
2015-01-03,10.1433955884,3.39393939394
2015-01-04,10.1566097763,3.37878787879
2015-01-05,10.1698239642,3.36363636364
2015-01-06,10.1830381521,3.34848484848
2015-01-07,10.19625234,3.33333333333
2015-01-08,10.2094665279,3.31818181818
2015-01-09,10.2226807158,3.30303030303
2015-01-10,10.2358949037,3.28787878788
2015-01-11,10.2491090916,3.27272727273
2015-01-12,10.2623232795,3.25757575758
2015-01-13,10.2755374674,3.24242424242
2015-01-14,10.2887516553,3.22727272727
2015-01-15,10.3019658432,3.21212121212
2015-01-16,10.3151800311,3.19696969697
2015-01-17,10.328394219,3.18181818182
2015-01-18,10.3416084069,3.16666666667
2015-01-19,10.3548225948,3.15151515152
2015-01-20,10.3680367827,3.13636363636
2015-01-21,10.3812509706,3.12121212121
2015-01-22,10.3944651585,3.10606060606
2015-01-23,10.4076793464,3.09090909091
2015-01-24,10.4208935343,3.07575757576
2015-01-25,10.4341077222,3.06060606061
2015-01-26,10.4473219101,3.04545454545
2015-01-27,10.460536098,3.0303030303
2015-01-28,10.4737502859,3.01515151515
2015-01-29,10.4869644738,3.0
2015-01-30,10.4807443385,3.0
2015-01-31,10.4745242032,3.0
2015-02-01,10.468304068,3.0
2015-02-02,10.4620839327,3.0
2015-02-03,10.4558637974,3.0
2015-02-04,10.4496436622,3.0
2015-02-05,10.4434235269,3.0
2015-02-06,10.4372033916,3.0
2015-02-07,10.4309832564,3.0
2015-02-08,10.4247631211,3.0
2015-02-09,10.4185429858,3.0
2015-02-10,10.4123228506,3.0
2015-02-11,10.4061027153,3.0
2015-02-12,10.39988258,3.0
2015-02-13,10.3936624448,3.0
2015-02-14,10.3874423095,3.0
2015-02-15,10.3812221742,3.0
2015-02-16,10.375002039,3.0
2015-02-17,10.3687819037,3.0
2015-02-18,10.3625617684,3.0
2015-02-19,10.3563416332,3.0
2015-02-20,10.3501214979,3.0
2015-02-21,10.3439013626,3.0
2015-02-22,10.3376812274,3.0
2015-02-23,10.3314610921,3.0
2015-02-24,10.3252409568,3.0
2015-02-25,10.3190208216,3.0
2015-02-26,10.3128006863,3.0
2015-02-27,10.306580551,3.0
2015-02-28,10.3003604158,3.0
2015-03-01,10.2941402805,3.0
2015-03-02,10.2879201452,3.0
2015-03-03,10.28170001,3.0
2015-03-04,10.2754798747,3.0
2015-03-05,10.2692597394,3.0
2015-03-06,10.2630396042,3.0
2015-03-07,10.2568194689,3.0
2015-03-08,10.1482668385,3.22222222222
2015-03-09,10.0397142081,3.44444444444
2015-03-10,9.93116157772,3.66666666667
2015-03-11,9.82260894734,3.88888888889
2015-03-12,9.71405631695,4.11111111111
2015-03-13,9.60550368656,4.33333333333
2015-03-14,9.49695105617,4.55555555556
2015-03-15,9.38839842579,4.77777777778
