,avgPrice,numListings
2015-01-06,22.491957884,2.0
2015-01-07,25.1619509093,1.66666666667
2015-01-08,27.8319439347,1.33333333333
2015-01-09,30.50193696,1.0
2015-01-10,25.958063578,1.0
2015-01-11,21.414190196,1.0
2015-01-12,16.870316814,1.0
2015-01-13,12.326443432,1.0
2015-01-14,7.78257005,1.0
2015-01-15,21.1214827977,1.9
2015-01-16,34.4603955454,2.8
2015-01-17,47.7993082931,3.7
2015-01-18,61.1382210408,4.6
2015-01-19,74.4771337885,5.5
2015-01-20,87.8160465362,6.4
2015-01-21,101.154959284,7.3
2015-01-22,114.493872032,8.2
2015-01-23,127.832784779,9.1
2015-01-24,141.171697527,10.0
2015-01-25,142.655463341,10.4
2015-01-26,144.139229156,10.8
2015-01-27,145.62299497,11.2
2015-01-28,147.106760784,11.6
2015-01-29,148.590526599,12.0
2015-01-30,307.528903061,9.33333333333
2015-01-31,466.467279523,6.66666666667
2015-02-01,625.405655986,4.0
2015-02-02,677.580666432,4.0
2015-02-03,513.572911707,3.33333333333
2015-02-04,349.565156982,2.66666666667
2015-02-05,185.557402257,2.0
2015-02-06,204.279063201,2.25
2015-02-07,223.000724144,2.5
2015-02-08,241.722385088,2.75
2015-02-09,260.444046031,3.0
2015-02-10,217.982482513,5.0
2015-02-11,175.520918995,7.0
2015-02-12,159.334412346,6.83333333333
2015-02-13,143.147905697,6.66666666667
2015-02-14,126.961399047,6.5
2015-02-15,110.774892398,6.33333333333
2015-02-16,94.5883857485,6.16666666667
2015-02-17,78.4018790991,6.0
2015-02-18,141.463476596,7.0
2015-02-19,204.525074093,8.0
2015-02-20,200.472728271,6.5
2015-02-21,196.420382448,5.0
2015-02-22,178.266523588,5.14285714286
2015-02-23,160.112664728,5.28571428571
2015-02-24,141.958805868,5.42857142857
2015-02-25,123.804947008,5.57142857143
2015-02-26,105.651088147,5.71428571429
2015-02-27,87.4972292874,5.85714285714
2015-02-28,69.3433704273,6.0
2015-03-01,208.72973223,10.0
2015-03-02,348.116094032,14.0
2015-03-03,487.502455834,18.0
2015-03-04,399.618543466,18.0
2015-03-05,311.734631098,18.0
2015-03-06,223.85071873,18.0
2015-03-07,135.966806362,18.0
2015-03-08,133.375386957,18.2222222222
2015-03-09,130.783967551,18.4444444444
2015-03-10,128.192548146,18.6666666667
2015-03-11,125.60112874,18.8888888889
2015-03-12,123.009709335,19.1111111111
2015-03-13,120.41828993,19.3333333333
2015-03-14,117.826870524,19.5555555556
2015-03-15,115.235451119,19.7777777778
