,avgPrice,numListings
2014-04-10,53.337936516,2.0
2014-04-11,56.6007621896,1.92857142857
2014-04-12,59.8635878632,1.85714285714
2014-04-13,63.1264135369,1.78571428571
2014-04-14,66.3892392105,1.71428571429
2014-04-15,69.6520648841,1.64285714286
2014-04-16,72.9148905577,1.57142857143
2014-04-17,76.1777162313,1.5
2014-04-18,79.440541905,1.42857142857
2014-04-19,82.7033675786,1.35714285714
2014-04-20,85.9661932522,1.28571428571
2014-04-21,89.2290189258,1.21428571429
2014-04-22,92.4918445994,1.14285714286
2014-04-23,95.754670273,1.07142857143
2014-04-24,99.0174959467,1.0
2014-04-25,96.2306408644,1.0
2014-04-26,93.4437857822,1.0
2014-04-27,90.6569307,1.0
2014-04-28,87.2471665053,1.0
2014-04-29,83.8374023105,1.0
2014-04-30,80.4276381158,1.0
2014-05-01,77.0178739211,1.0
2014-05-02,73.6081097264,1.0
2014-05-03,70.1983455316,1.0
2014-05-04,66.7885813369,1.0
2014-05-05,63.3788171422,1.0
2014-05-06,59.9690529474,1.0
2014-05-07,56.5592887527,1.0
2014-05-08,53.149524558,1.0
2014-05-09,49.7397603633,1.0
2014-05-10,46.3299961685,1.0
2014-05-11,42.9202319738,1.0
2014-05-12,39.5104677791,1.0
2014-05-13,36.1007035843,1.0
2014-05-14,32.6909393896,1.0
2014-05-15,29.2811751949,1.0
2014-05-16,25.8714110002,1.0
2014-05-17,22.4616468054,1.0
2014-05-18,19.0518826107,1.0
2014-05-19,15.642118416,1.0
2014-05-20,12.2323542212,1.0
2014-05-21,8.82259002652,1.0
2014-05-22,5.41282583179,1.0
2014-05-23,21.5548599249,1.57142857143
2014-05-24,37.6968940181,2.14285714286
2014-05-25,53.8389281112,2.71428571429
2014-05-26,69.9809622043,3.28571428571
2014-05-27,86.1229962975,3.85714285714
2014-05-28,102.265030391,4.42857142857
2014-05-29,118.407064484,5.0
2014-05-30,163.06248244,5.0
2014-05-31,223.87450479,5.0
2014-06-01,217.100075592,4.66666666667
2014-06-02,210.325646393,4.33333333333
2014-06-03,203.551217195,4.0
2014-06-04,49.7715947807,2.0
2014-06-05,46.321862223,2.57142857143
2014-06-06,42.8721296654,3.14285714286
2014-06-07,39.4223971077,3.71428571429
2014-06-08,35.97266455,4.28571428571
2014-06-09,32.5229319923,4.85714285714
2014-06-10,29.0731994347,5.42857142857
2014-06-11,25.623466877,6.0
2014-06-12,23.239658746,5.625
2014-06-13,20.8558506149,5.25
2014-06-14,18.4720424839,4.875
2014-06-15,16.0882343529,4.5
2014-06-16,13.7044262219,4.125
2014-06-17,11.3206180908,3.75
2014-06-18,8.9368099598,3.375
2014-06-19,6.55300182878,3.0
2014-06-20,10.2558506254,2.75
2014-06-21,13.9586994221,2.5
2014-06-22,17.6615482188,2.25
2014-06-23,21.3643970155,2.0
2014-06-24,23.1639777009,1.96
2014-06-25,24.9635583864,1.92
2014-06-26,26.7631390719,1.88
2014-06-27,28.5627197573,1.84
2014-06-28,30.3623004428,1.8
