date,numHits
2014-01-01,[40]
2014-01-02,[44]
2014-01-03,[56]
2014-01-04,[9]
2014-01-05,[7]
2014-01-06,[60]
2014-01-07,[75]
2014-01-08,[60]
2014-01-09,[118]
2014-01-10,[51]
2014-01-11,[7]
2014-01-12,[4]
2014-01-13,[81]
2014-01-14,[118]
2014-01-15,[65]
2014-01-16,[75]
2014-01-17,[80]
2014-01-18,[5]
2014-01-19,[7]
2014-01-20,[61]
2014-01-21,[54]
2014-01-22,[89]
2014-01-23,[65]
2014-01-24,[92]
2014-01-25,[37]
2014-01-26,[8]
2014-01-27,[72]
2014-01-28,[78]
2014-01-29,[113]
2014-01-30,[76]
2014-01-31,[69]
2014-02-01,[46]
2014-02-02,[39]
2014-02-03,[172]
2014-02-04,[93]
2014-02-05,[112]
2014-02-06,[79]
2014-02-07,[73]
2014-02-08,[67]
2014-02-09,[38]
2014-02-10,[60]
2014-02-11,[68]
2014-02-12,[87]
2014-02-13,[157]
2014-02-14,[81]
2014-02-15,[43]
2014-02-16,[6]
2014-02-17,[52]
2014-02-18,[125]
2014-02-19,[73]
2014-02-20,[71]
2014-02-21,[65]
2014-02-22,[48]
2014-02-23,[122]
2014-02-24,[78]
2014-02-25,[74]
2014-02-26,[98]
2014-02-27,[71]
2014-02-28,[75]
2014-03-01,[44]
2014-03-02,[96]
2014-03-03,[67]
2014-03-04,[86]
2014-03-05,[87]
2014-03-06,[85]
2014-03-07,[124]
2014-03-08,[46]
2014-03-09,[34]
2014-03-10,[130]
2014-03-11,[72]
2014-03-12,[97]
2014-03-13,[61]
2014-03-14,[80]
2014-03-15,[93]
2014-03-16,[44]
2014-03-17,[61]
2014-03-18,[90]
2014-03-19,[79]
2014-03-20,[121]
2014-03-21,[74]
2014-03-22,[29]
2014-03-23,[8]
2014-03-24,[81]
2014-03-25,[114]
2014-03-26,[77]
2014-03-27,[79]
2014-03-28,[69]
2014-03-29,[9]
2014-03-30,[108]
2014-03-31,[74]
2014-04-01,[69]
2014-04-02,[89]
2014-04-03,[75]
2014-04-04,[111]
2014-04-05,[50]
2014-04-06,[5]
2014-04-07,[52]
2014-04-08,[98]
2014-04-09,[150]
2014-04-10,[84]
2014-04-11,[66]
2014-04-12,[9]
2014-04-13,[10]
2014-04-14,[144]
2014-04-15,[82]
2014-04-16,[84]
2014-04-17,[79]
2014-04-18,[77]
2014-04-19,[68]
2014-04-20,[6]
2014-04-21,[74]
2014-04-22,[64]
2014-04-23,[90]
2014-04-24,[146]
2014-04-25,[84]
2014-04-26,[7]
2014-04-27,[8]
2014-04-28,[81]
2014-04-29,[147]
2014-04-30,[91]
2014-05-01,[86]
2014-05-02,[92]
2014-05-03,[70]
2014-05-04,[10]
2014-05-05,[87]
2014-05-06,[73]
2014-05-07,[102]
2014-05-08,[147]
2014-05-09,[68]
2014-05-10,[47]
2014-05-11,[52]
2014-05-12,[89]
2014-05-13,[167]
2014-05-14,[109]
2014-05-15,[96]
2014-05-16,[90]
2014-05-17,[58]
2014-05-18,[10]
2014-05-19,[77]
2014-05-20,[99]
2014-05-21,[95]
2014-05-22,[82]
2014-05-23,[113]
2014-05-24,[10]
2014-05-25,[7]
2014-05-26,[57]
2014-05-27,[81]
2014-05-28,[156]
2014-05-29,[84]
2014-05-30,[93]
2014-05-31,[53]
2014-06-01,[9]
2014-06-02,[151]
2014-06-03,[93]
2014-06-04,[104]
2014-06-05,[87]
2014-06-06,[90]
2014-06-07,[9]
2014-06-08,[45]
2014-06-09,[74]
2014-06-10,[103]
2014-06-11,[87]
2014-06-12,[170]
2014-06-13,[104]
2014-06-14,[50]
2014-06-15,[10]
2014-06-16,[105]
2014-06-17,[170]
2014-06-18,[94]
2014-06-19,[68]
2014-06-20,[70]
2014-06-21,[47]
2014-06-22,[8]
2014-06-23,[67]
2014-06-24,[84]
2014-06-25,[104]
2014-06-26,[81]
2014-06-27,[127]
2014-06-28,[57]
2014-06-29,[40]
2014-06-30,[84]
2014-07-01,[161]
2014-07-02,[107]
2014-07-03,[84]
2014-07-04,[57]
2014-07-05,[54]
2014-07-06,[123]
2014-07-07,[100]
2014-07-08,[90]
2014-07-09,[94]
2014-07-10,[127]
2014-07-11,[121]
2014-07-12,[7]
2014-07-13,[10]
2014-07-14,[98]
2014-07-15,[91]
2014-07-16,[167]
2014-07-17,[84]
2014-07-18,[57]
2014-07-19,[41]
2014-07-20,[9]
2014-07-21,[121]
2014-07-22,[91]
2014-07-23,[121]
2014-07-24,[89]
2014-07-25,[90]
2014-07-26,[93]
2014-07-27,[48]
2014-07-28,[82]
2014-07-29,[85]
2014-07-30,[94]
2014-07-31,[150]
2014-08-01,[77]
2014-08-02,[45]
2014-08-03,[48]
2014-08-04,[80]
2014-08-05,[151]
2014-08-06,[80]
2014-08-07,[87]
2014-08-08,[93]
2014-08-09,[48]
2014-08-10,[10]
2014-08-11,[88]
2014-08-12,[92]
2014-08-13,[96]
2014-08-14,[86]
2014-08-15,[118]
2014-08-16,[46]
2014-08-17,[9]
2014-08-18,[108]
2014-08-19,[92]
2014-08-20,[172]
2014-08-21,[112]
2014-08-22,[89]
2014-08-23,[63]
2014-08-24,[33]
2014-08-25,[142]
2014-08-26,[85]
2014-08-27,[101]
2014-08-28,[107]
2014-08-29,[98]
2014-08-30,[79]
2014-08-31,[9]
2014-09-01,[58]
2014-09-02,[84]
2014-09-03,[85]
2014-09-04,[149]
2014-09-05,[91]
2014-09-06,[60]
2014-09-07,[9]
2014-09-08,[83]
2014-09-09,[159]
2014-09-10,[89]
