,avgPrice,numListings
2014-05-29,13213.9855267,1.0
2014-05-30,13406.1676,1.0
2014-05-31,13358.4686033,1.0
2014-06-01,13491.7857356,1.0
2014-06-02,13625.1028678,1.0
2014-06-03,13758.42,1.0
2014-06-04,13037.0464078,1.125
2014-06-05,12315.6728156,1.25
2014-06-06,11594.2992235,1.375
2014-06-07,10872.9256313,1.5
2014-06-08,10151.5520391,1.625
2014-06-09,9430.1784469,1.75
2014-06-10,8708.80485472,1.875
2014-06-11,7987.43126253,2.0
2014-06-12,7522.48487332,2.125
2014-06-13,7057.5384841,2.25
2014-06-14,6592.59209488,2.375
2014-06-15,6127.64570567,2.5
2014-06-16,5662.69931645,2.625
2014-06-17,5197.75292723,2.75
2014-06-18,4732.80653802,2.875
2014-06-19,4267.8601488,3.0
2014-06-20,5021.92258163,2.75
2014-06-21,5775.98501447,2.5
2014-06-22,6530.0474473,2.25
2014-06-23,7284.10988013,2.0
2014-06-24,6247.141251,2.0
2014-06-25,6412.98328087,1.95833333333
2014-06-26,6578.82531075,1.91666666667
2014-06-27,6744.66734062,1.875
2014-06-28,6910.5093705,1.83333333333
2014-06-29,7076.35140037,1.79166666667
2014-06-30,7242.19343025,1.75
2014-07-01,7408.03546013,1.70833333333
2014-07-02,7573.87749,1.66666666667
2014-07-03,7739.71951987,1.625
2014-07-04,7905.56154975,1.58333333333
2014-07-05,8071.40357963,1.54166666667
2014-07-06,8237.2456095,1.5
2014-07-07,8403.08763938,1.45833333333
2014-07-08,8568.92966925,1.41666666667
2014-07-09,8734.77169912,1.375
2014-07-10,8900.613729,1.33333333333
2014-07-11,9066.45575887,1.29166666667
2014-07-12,9232.29778875,1.25
2014-07-13,9398.13981863,1.20833333333
2014-07-14,9563.9818485,1.16666666667
2014-07-15,9729.82387838,1.125
2014-07-16,9895.66590825,1.08333333333
2014-07-17,10061.5079381,1.04166666667
2014-07-18,10227.349968,1.0
2014-07-19,10093.2654967,1.0
2014-07-20,9959.18102533,1.0
2014-07-21,9825.096554,1.0
2014-07-22,8972.56111387,1.2
2014-07-23,8120.02567373,1.4
2014-07-24,7267.4902336,1.6
2014-07-25,6414.95479347,1.8
2014-07-26,5562.41935333,2.0
2014-07-27,8980.90551367,1.5
2014-07-28,12399.391674,1.0
2014-07-29,11851.8938539,1.0
2014-07-30,11304.3960338,1.0
2014-07-31,10756.8982137,1.0
2014-08-01,10209.4003936,1.0
2014-08-02,9661.90257344,1.0
2014-08-03,9114.40475333,1.0
2014-08-04,8529.37075286,1.0
2014-08-05,7944.33675238,1.0
2014-08-06,7359.3027519,1.0
2014-08-07,6774.26875143,1.0
2014-08-08,6189.23475095,1.0
2014-08-09,5604.20075048,1.0
2014-08-10,5019.16675,1.0
2014-08-11,4642.23711254,1.6
2014-08-12,4265.30747508,2.2
2014-08-13,3888.37783762,2.8
2014-08-14,3511.44820016,3.4
2014-08-15,3134.5185627,4.0
2014-08-16,3296.35706534,4.0
2014-08-17,3458.19556798,4.0
2014-08-18,3620.03407062,4.0
2014-08-19,3781.87257326,4.0
2014-08-20,3943.7110759,4.0
2014-08-21,4105.54957854,4.0
2014-08-22,4267.38808118,4.0
2014-08-23,4296.77061014,4.2
2014-08-24,4326.15313911,4.4
2014-08-25,4355.53566807,4.6
2014-08-26,4384.91819704,4.8
2014-08-27,4414.300726,5.0
2014-08-28,4476.8344758,4.83333333333
2014-08-29,4539.3682256,4.66666666667
2014-08-30,4601.9019754,4.5
2014-08-31,4664.43572521,4.33333333333
2014-09-01,4726.96947501,4.16666666667
2014-09-02,4789.50322481,4.0
2014-09-03,4264.59328956,3.625
2014-09-04,3739.68335431,3.25
2014-09-05,3214.77341906,2.875
2014-09-06,2689.8634838,2.5
2014-09-07,2164.95354855,2.125
2014-09-08,1640.0436133,1.75
2014-09-09,1115.13367805,1.375
2014-09-10,590.2237428,1.0
2014-09-11,1098.04894332,1.6
2014-09-12,1605.87414384,2.2
2014-09-13,2113.69934436,2.8
2014-09-14,2621.52454488,3.4
2014-09-15,3129.3497454,4.0
2014-09-16,3315.16498055,7.0
